# ----------------------------------------
# Páginas e telas: Caminho da página e classe da tela
# Conta: Bahia.ba
# Propriedade: Bahia.ba – GA4
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20250101
# Data de término: 20251231
Caminho da página e classe da tela,Visualizações,Usuários ativos,Visualizações por usuário ativo,Tempo médio de engajamento por usuário ativo,Contagem de eventos,Eventos principais,Receita total
/,780822,68310,11.43056653491436,592.1839994144342,2460435,0,0
/entretenimento/suposto-video-intimo-de-kamylinha-e-vazado-e-internautas-reagem/,126454,116618,1.0843437548234407,10.39642250767463,506916,0,0
/ultimas-noticias/,83495,6215,13.434432823813355,600.0228479485116,245542,0,0
/salvador/praia-em-salvador-e-eleita-uma-das-melhores-do-mundo-em-ranking-internacional/,65278,55276,1.1809465229032492,31.09014762283812,219730,0,0
/salvador/obras-da-nova-rodoviaria-sao-concluidas-operacao-comeca-em-janeiro/,50743,41334,1.2276334252673344,56.28054386219577,193013,0,0
/municipios/cidade-no-litoral-sul-baiano-e-a-pior-do-estado-em-qualidade-de-vida/,46432,41476,1.1194907898543736,32.281801523772785,161253,0,0
/esporte/dono-do-bahia-se-prepara-para-comprar-banco-brasileiro-entenda/,40224,35329,1.138554728410088,58.51812958192986,162427,0,0
/brasil/validade-da-cnh-para-idosos-muda-veja-novos-prazos-e-regras/,39710,35514,1.1181505885003098,58.10559216083798,169854,0,0
/bahia/governo-desapropria-area-para-construcao-de-acessos-a-ponte-salvador-itaparica/,35628,29028,1.2273666804464656,67.72068347802121,131850,0,0
/politica/prefeito-na-bahia-e-acusado-de-pagar-contrato-milionario-terceirizado-com-verbas-do-fundeb/,30876,26627,1.1595748676155782,39.29853156570398,118059,0,0
/salvador/confronto-entre-ambulantes-e-segurancas-causa-confusao-na-estacao-rodoviaria/,29139,24045,1.2118527760449158,41.4311499272198,109622,0,0
/entretenimento/tv-globo-estuda-encerrar-tradicional-programa-dominical-diz-colunista/,26187,24504,1.0686826640548481,39.79762487757101,94020,0,0
/salvador/tunel-subterraneo-de-960-metros-ligara-campo-da-polvora-ao-comercio-confira/,25105,20215,1.2418995795201584,84.92728172149394,79770,0,0
/politica/,24443,3659,6.680240502869636,283.15113418966934,65996,0,0
/municipios/moema-nao-paga-folha-de-servidores-mas-indeniza-aliados-denuncia-debora/,24404,21318,1.1447602964630827,77.49845201238391,84660,0,0
/salvador/saiba-quais-serao-as-42-paradas-do-vlt-de-salvador/,22266,17458,1.2754038263260397,97.13999312636041,70670,0,0
/bahia/saiba-quem-sao-os-bilionarios-da-bahia/,21908,18583,1.1789269762686325,81.15110584943228,72003,0,0
/politica/luciano-hang-critica-bolsonaro-e-diz-que-ex-presidente-so-pensa-em-si-proprio-e-na-familia/,20962,19173,1.0933082981275752,75.18312209878475,77707,0,0
/salvador/prefeitura-anuncia-obras-para-reduzir-engarrafamentos-na-paralela/,18401,14278,1.2887659336041462,58.4698837372181,57499,0,0
/bahia/pge-ja-pediu-liberacao-de-precatorios-do-fundef-mas-ainda-aguarda-stf/,17695,13571,1.303883280524648,69.27588239628619,56907,0,0
/salvador/salvador-e-a-capital-mais-perigosa-do-pais-aponta-anuario-entenda-o-porque/,17071,14321,1.192025696529572,77.19963689686475,63514,0,0
/bahia/praia-do-litoral-baiano-ganhara-taxa-de-acesso-em-2026-veja-preco/,16971,14578,1.1641514611057757,44.73857868020305,65275,0,0
/bahia/sac-passa-a-emitir-novo-rg-sem-agendamento-a-partir-de-segunda-feira/,16361,12759,1.2823105259032839,33.310839407477076,61256,0,0
