data,usuários_ativos,novos_usuários
2023-01-19,4919,4923
2023-01-20,9537,8887
2023-01-21,7128,6487
2023-01-22,4397,3736
2023-01-23,5936,4958
2023-01-24,6421,5227
2023-01-25,5661,4494
2023-01-26,5818,4570
2023-01-27,6231,5001
2023-01-28,4852,4020
2023-01-29,4438,3622
2023-01-30,8140,6770
2023-01-31,9620,8138
2023-02-01,7637,6210
2023-02-02,16567,15021
2023-02-03,10796,9320
2023-02-04,5559,4656
2023-02-05,6222,5335
2023-02-06,7963,6534
2023-02-07,8299,6768
2023-02-08,10382,8728
2023-02-09,9528,7685
2023-02-10,10435,8782
2023-02-11,47154,45915
2023-02-12,33190,31902
2023-02-13,26314,24214
2023-02-14,10843,8984
2023-02-15,22542,20307
2023-02-16,17395,15505
2023-02-17,20852,18707
2023-02-18,19573,17377
2023-02-19,58749,54226
2023-02-20,96506,87395
2023-02-21,105227,97404
2023-02-22,45641,38590
2023-02-23,25840,20396
2023-02-24,28133,22124
2023-02-25,61288,53014
2023-02-26,12771,10251
2023-02-27,11514,8755
2023-02-28,9500,6962
2023-03-01,14322,11117
2023-03-02,17071,13654
2023-03-03,139393,121742
2023-03-04,48303,41639
2023-03-05,13520,11008
2023-03-06,11625,9144
2023-03-07,7557,5648
2023-03-08,7920,5385
2023-03-09,41472,30702
2023-03-10,34753,27261
2023-03-11,23421,19188
2023-03-12,17237,13473
2023-03-13,19660,15937
2023-03-14,47119,35708
2023-03-15,100581,85616
2023-03-16,66236,52786
2023-03-17,63740,50745
2023-03-18,42103,35689
2023-03-19,107341,91844
2023-03-20,242578,213923
2023-03-21,177251,151299
2023-03-22,70979,55761
2023-03-23,46514,35697
2023-03-24,29478,21562
2023-03-25,19512,14365
2023-03-26,10899,8164
2023-03-27,10938,7728
2023-03-28,10547,7385
2023-03-29,10950,7758
2023-03-30,7246,5154
2023-03-31,5338,3610
2023-04-01,3913,2780
2023-04-02,3832,2784
2023-04-03,4417,2729
2023-04-04,4397,2745
2023-04-05,4620,3114
2023-04-06,3743,2418
2023-04-07,3001,2013
2023-04-08,2949,2047
2023-04-09,4129,2981
2023-04-10,9145,6561
2023-04-11,33586,20510
2023-04-12,170951,120950
2023-04-13,110092,82526
2023-04-14,35669,27154
2023-04-15,23199,14936
2023-04-16,24293,17665
2023-04-17,22175,16883
2023-04-18,17588,11502
2023-04-19,19223,13191
2023-04-20,17736,12700
2023-04-21,25948,17436
2023-04-22,25421,15954
2023-04-23,29408,18543
2023-04-24,42222,27907
2023-04-25,24627,16407
2023-04-26,21677,12986
2023-04-27,22789,12465
2023-04-28,17361,10790
2023-04-29,8489,5480
2023-04-30,8045,5249
2023-05-01,12770,7701
2023-05-02,12819,8528
2023-05-03,16608,12495
2023-05-04,10812,8170
2023-05-05,6712,4796
2023-05-06,7223,5200
2023-05-07,12255,8421
2023-05-08,22953,14798
2023-05-09,38155,25477
2023-05-10,57453,41245
2023-05-11,29815,21589
2023-05-12,13147,7252
2023-05-13,42407,28401
2023-05-14,49795,35628
2023-05-15,16430,11034
2023-05-16,35533,23136
2023-05-17,29645,20539
2023-05-18,33154,21158
2023-05-19,37608,24491
2023-05-20,21735,15019
2023-05-21,10631,7119
2023-05-22,8830,6017
2023-05-23,139004,108909
2023-05-24,279590,224063
2023-05-25,87101,60524
2023-05-26,47910,27926
2023-05-27,78865,53223
2023-05-28,77343,55093
2023-05-29,36092,24001
2023-05-30,20379,13050
2023-05-31,20250,10670
2023-06-01,10742,7419
2023-06-02,15049,12355
2023-06-03,8912,7055
2023-06-04,5771,4333
2023-06-05,11227,6070
2023-06-06,35715,16122
2023-06-07,33299,17204
2023-06-08,56530,32008
2023-06-09,18642,11866
2023-06-10,16347,8264
2023-06-11,69488,33948
2023-06-12,77792,45999
2023-06-13,119583,67840
2023-06-14,89011,44299
2023-06-15,72808,37249
2023-06-16,30316,16436
2023-06-17,20469,10621
2023-06-18,28165,16553
2023-06-19,113127,87278
2023-06-20,37069,22218
2023-06-21,18967,10218
2023-06-22,10076,6968
2023-06-23,8678,6022
2023-06-24,15560,7232
2023-06-25,40991,19013
2023-06-26,66241,40083
2023-06-27,54447,35628
2023-06-28,71809,37689
2023-06-29,19371,11906
2023-06-30,18143,10949
2023-07-01,9907,6665
2023-07-02,8078,5870
2023-07-03,7259,5192
2023-07-04,7522,5421
2023-07-05,9324,5415
2023-07-06,9570,5727
2023-07-07,8198,5463
2023-07-08,5271,3893
2023-07-09,7128,5237
2023-07-10,13214,9512
2023-07-11,8818,6041
2023-07-12,9336,6425
2023-07-13,8656,6184
2023-07-14,15987,13336
2023-07-15,13950,10928
2023-07-16,8727,6687
2023-07-17,10133,6782
2023-07-18,12990,8742
2023-07-19,12342,8739
2023-07-20,7030,4882
2023-07-21,9471,6348
2023-07-22,5456,3871
2023-07-23,4534,3185
2023-07-24,11648,8010
2023-07-25,8479,5912
2023-07-26,7287,4894
2023-07-27,14022,9795
2023-07-28,13961,10347
2023-07-29,6780,5216
2023-07-30,4960,3742
2023-07-31,6177,4309
2023-08-01,6605,4580
2023-08-02,6560,4632
2023-08-03,7749,5515
2023-08-04,8897,6493
2023-08-05,7027,5534
2023-08-06,8683,6300
2023-08-07,30360,24797
2023-08-08,13064,10389
2023-08-09,22349,15266
2023-08-10,36415,26056
2023-08-11,12440,8878
2023-08-12,5877,4121
2023-08-13,6278,4693
2023-08-14,19432,15599
2023-08-15,26572,20776
2023-08-16,26440,22227
2023-08-17,42856,33304
2023-08-18,30270,23269
2023-08-19,17893,14795
2023-08-20,9925,8148
2023-08-21,11036,8505
2023-08-22,14523,9354
2023-08-23,17582,12203
2023-08-24,27677,16130
2023-08-25,25141,15709
2023-08-26,10013,7294
2023-08-27,4912,3363
2023-08-28,5988,3772
2023-08-29,8241,5829
2023-08-30,9743,7112
2023-08-31,9110,6239
2023-09-01,6640,4291
2023-09-02,4588,3301
2023-09-03,4050,2960
2023-09-04,5552,3735
2023-09-05,5881,4072
2023-09-06,5682,3987
2023-09-07,6197,4681
2023-09-08,4303,2938
2023-09-09,4897,3375
2023-09-10,4474,3242
2023-09-11,9103,7155
2023-09-12,6393,4662
2023-09-13,8659,6227
2023-09-14,8912,6824
2023-09-15,10897,8755
2023-09-16,7079,5844
2023-09-17,5939,4696
2023-09-18,7805,5803
2023-09-19,10808,8556
2023-09-20,10037,7051
2023-09-21,9660,7081
2023-09-22,6556,4919
2023-09-23,4634,3449
2023-09-24,5188,3929
2023-09-25,9719,6261
2023-09-26,15012,10245
2023-09-27,15113,11787
2023-09-28,10731,8699
2023-09-29,93695,85140
