mes,usuarios_ativos_soma_diaria,novos_usuarios,dias_com_dado
2023-01,83098,70833,13
2023-02,746420,661067,28
2023-03,1465604,1210692,31
2023-04,744645,511406,30
2023-05,1313024,935673,31
2023-06,1194345,690845,30
2023-07,286215,202770,31
2023-08,489658,360882,31
2023-09,335846,268057,30
2023-10,409802,345141,31
2023-11,262684,199485,30
2023-12,215100,165104,31
2024-01,315961,262311,31
2024-02,263992,214814,29
2024-03,192324,144313,31
2024-04,267545,207194,30
2024-05,168617,118163,31
2024-06,181757,140352,30
2024-07,187173,134203,31
2024-08,162226,117661,31
2024-09,252205,200048,30
2024-10,316958,251680,31
2024-11,329894,270984,30
2024-12,239456,188924,31
2025-01,290184,221564,31
2025-02,237940,182082,28
2025-03,316046,261791,31
2025-04,190067,149211,30
2025-05,169711,131572,31
2025-06,202984,164942,30
2025-07,219380,174509,31
2025-08,341431,261637,31
2025-09,289736,213834,30
2025-10,411191,288292,31
2025-11,431759,315012,30
2025-12,201974,140954,31
2026-01,366246,294229,31
2026-02,220877,168461,28
2026-03,185629,144349,31
2026-04,245847,206276,30
2026-05,232347,184702,31
2026-06,168446,130923,30
2026-07,192145,155668,31
2026-08,139720,118268,19
